tanggal,produk,jumlah,harga_satuan
2025-01-22,Lemari Kayu,6,1500000
2025-01-22,Meja Kayu,5,850000
2025-01-22,Rak Buku,3,400000
2025-01-22,Rak Buku,1,400000
2025-01-22,Meja Makan,5,1200000
2025-01-23,Kursi Kayu,9,250000
2025-01-23,Meja Kayu,5,850000
2025-01-23,Meja Makan,9,1200000
2025-01-23,Kursi Rotan,4,300000
2025-01-23,Kursi Kayu,6,250000
2025-01-24,Kursi Rotan,9,300000
2025-01-24,Meja Kayu,10,850000
2025-01-25,Rak Buku,1,400000
2025-01-25,Meja Kayu,6,850000
2025-01-25,Lemari Kayu,4,1500000
2025-01-26,Kursi Kayu,10,250000
2025-01-27,Meja Kayu,8,850000
2025-01-28,Kursi Rotan,3,300000
2025-01-29,Meja Makan,8,1200000
2025-01-29,Kursi Rotan,3,300000
2025-01-30,Kursi Rotan,10,300000
2025-01-30,Rak Buku,4,400000
2025-01-30,Kursi Rotan,4,300000
2025-01-31,Rak Buku,6,400000
2025-01-31,Rak Buku,9,400000
2025-01-31,Rak Buku,2,400000
2025-02-01,Kursi Kayu,2,250000
2025-02-01,Lemari Kayu,1,1500000
2025-02-02,Kursi Rotan,4,300000
2025-02-02,Kursi Rotan,4,300000
2025-02-02,Meja Kayu,2,850000
2025-02-02,Meja Makan,1,1200000
2025-02-02,Kursi Kayu,2,250000
2025-02-03,Lemari Kayu,2,1500000
2025-02-04,Kursi Kayu,5,250000
2025-02-04,Meja Makan,8,1200000
2025-02-04,Kursi Kayu,9,250000
2025-02-04,Kursi Kayu,10,250000
2025-02-04,Kursi Rotan,8,300000
2025-02-05,Rak Buku,7,400000
2025-02-05,Kursi Kayu,2,250000
2025-02-06,Meja Makan,7,1200000
2025-02-07,Rak Buku,7,400000
2025-02-07,Rak Buku,1,400000
2025-02-07,Meja Makan,2,1200000
2025-02-08,Rak Buku,6,400000
2025-02-09,Kursi Kayu,4,250000
2025-02-10,Kursi Rotan,8,300000
2025-02-10,Kursi Kayu,7,250000
2025-02-11,Lemari Kayu,8,1500000
2025-02-11,Kursi Kayu,2,250000
2025-02-12,Kursi Rotan,2,300000
2025-02-12,Meja Kayu,9,850000
2025-02-12,Meja Kayu,2,850000
2025-02-12,Kursi Kayu,3,250000
2025-02-13,Rak Buku,8,400000
2025-02-13,Kursi Kayu,7,250000
2025-02-13,Meja Kayu,3,850000
2025-02-13,Rak Buku,1,400000
2025-02-14,Lemari Kayu,8,1500000
2025-02-14,Lemari Kayu,7,1500000
2025-02-14,Meja Makan,9,1200000
2025-02-14,Meja Makan,8,1200000
2025-02-15,Kursi Kayu,5,250000
2025-02-15,Kursi Kayu,1,250000
2025-02-16,Meja Makan,9,1200000
2025-02-16,Meja Kayu,6,850000
2025-02-16,Meja Kayu,1,850000
2025-02-16,Kursi Rotan,8,300000
2025-02-16,Kursi Rotan,9,300000
2025-02-17,Meja Kayu,9,850000
2025-02-17,Meja Kayu,3,850000
2025-02-18,Kursi Rotan,2,300000
2025-02-19,Rak Buku,2,400000
2025-02-19,Kursi Rotan,4,300000
2025-02-20,Kursi Rotan,1,300000
2025-02-20,Kursi Rotan,2,300000
2025-02-20,Rak Buku,10,400000
2025-02-20,Kursi Rotan,9,300000
2025-02-20,Lemari Kayu,5,1500000
2025-02-21,Meja Makan,6,1200000
2025-02-21,Kursi Kayu,5,250000
2025-02-22,Kursi Kayu,5,250000
2025-02-22,Rak Buku,6,400000
2025-02-22,Meja Kayu,1,850000
2025-02-22,Rak Buku,10,400000
2025-02-23,Meja Kayu,2,850000
2025-02-23,Kursi Rotan,4,300000
2025-02-23,Kursi Rotan,5,300000
2025-02-23,Kursi Kayu,6,250000
2025-02-23,Meja Kayu,4,850000
2025-02-24,Lemari Kayu,3,1500000
2025-02-24,Rak Buku,9,400000
2025-02-24,Meja Makan,5,1200000
2025-02-25,Meja Makan,9,1200000
2025-02-25,Meja Kayu,9,850000
2025-02-25,Lemari Kayu,2,1500000
2025-02-25,Kursi Kayu,5,250000
2025-02-25,Meja Kayu,2,850000
2025-02-26,Kursi Kayu,5,250000
2025-02-26,Lemari Kayu,10,1500000
2025-02-26,Kursi Kayu,6,250000
2025-02-26,Kursi Kayu,5,250000
2025-02-26,Kursi Rotan,8,300000
2025-02-27,Meja Kayu,2,850000
2025-02-27,Meja Makan,7,1200000
2025-02-27,Lemari Kayu,1,1500000
2025-02-28,Lemari Kayu,3,1500000
2025-03-01,Kursi Kayu,8,250000
2025-03-01,Kursi Rotan,7,300000
2025-03-01,Kursi Rotan,1,300000
2025-03-02,Meja Kayu,3,850000
2025-03-03,Meja Kayu,6,850000
2025-03-03,Kursi Rotan,9,300000
2025-03-03,Kursi Kayu,7,250000
2025-03-03,Kursi Kayu,1,250000
2025-03-03,Lemari Kayu,6,1500000
2025-03-04,Lemari Kayu,4,1500000
2025-03-05,Meja Makan,2,1200000
2025-03-05,Lemari Kayu,9,1500000
2025-03-06,Kursi Rotan,3,300000
2025-03-06,Kursi Kayu,3,250000
2025-03-06,Kursi Kayu,7,250000
2025-03-06,Meja Kayu,3,850000
2025-03-07,Rak Buku,4,400000
2025-03-07,Lemari Kayu,3,1500000
2025-03-07,Meja Makan,2,1200000
2025-03-08,Meja Kayu,8,850000
2025-03-08,Kursi Kayu,4,250000
2025-03-08,Rak Buku,6,400000
2025-03-08,Lemari Kayu,4,1500000
2025-03-09,Meja Kayu,4,850000
2025-03-09,Rak Buku,6,400000
2025-03-10,Meja Kayu,5,850000
2025-03-10,Lemari Kayu,9,1500000
2025-03-10,Rak Buku,9,400000
2025-03-11,Meja Kayu,2,850000
2025-03-11,Lemari Kayu,3,1500000
2025-03-11,Kursi Rotan,5,300000
2025-03-12,Meja Kayu,10,850000
2025-03-13,Lemari Kayu,6,1500000
2025-03-13,Rak Buku,10,400000
2025-03-13,Kursi Rotan,2,300000
2025-03-13,Rak Buku,10,400000
2025-03-14,Lemari Kayu,1,1500000
2025-03-14,Meja Makan,7,1200000
2025-03-15,Kursi Rotan,9,300000
2025-03-16,Lemari Kayu,7,1500000
2025-03-16,Meja Kayu,6,850000
2025-03-17,Lemari Kayu,2,1500000
2025-03-17,Meja Makan,5,1200000
2025-03-17,Kursi Rotan,5,300000
2025-03-17,Meja Makan,7,1200000
2025-03-17,Lemari Kayu,7,1500000
2025-03-18,Kursi Rotan,3,300000
2025-03-18,Kursi Kayu,7,250000
2025-03-18,Meja Makan,7,1200000
2025-03-19,Kursi Rotan,10,300000
2025-03-19,Lemari Kayu,7,1500000
2025-03-20,Meja Kayu,5,850000
2025-03-20,Lemari Kayu,4,1500000
2025-03-20,Rak Buku,10,400000
2025-03-20,Kursi Rotan,6,300000
2025-03-20,Rak Buku,8,400000
2025-03-21,Meja Makan,4,1200000
2025-03-21,Kursi Rotan,8,300000
2025-03-21,Meja Makan,3,1200000
2025-03-21,Meja Makan,2,1200000
2025-03-22,Kursi Rotan,10,300000
2025-03-22,Lemari Kayu,2,1500000
2025-03-22,Kursi Kayu,5,250000
2025-03-23,Kursi Kayu,3,250000
2025-03-23,Meja Kayu,1,850000
2025-03-24,Rak Buku,10,400000
2025-03-24,Meja Kayu,8,850000
2025-03-25,Meja Makan,10,1200000
2025-03-25,Kursi Kayu,7,250000
2025-03-25,Rak Buku,7,400000
2025-03-25,Kursi Kayu,3,250000
2025-03-26,Meja Kayu,7,850000
2025-03-27,Kursi Kayu,9,250000
2025-03-27,Rak Buku,1,400000
2025-03-28,Kursi Kayu,2,250000
2025-03-28,Rak Buku,3,400000
2025-03-28,Rak Buku,9,400000
2025-03-28,Kursi Rotan,10,300000
2025-03-28,Lemari Kayu,8,1500000
2025-03-29,Meja Makan,9,1200000
2025-03-29,Rak Buku,9,400000
2025-03-29,Rak Buku,3,400000
2025-03-29,Meja Makan,8,1200000
2025-03-29,Rak Buku,5,400000
2025-03-30,Meja Makan,5,1200000
2025-03-30,Kursi Rotan,8,300000
2025-03-31,Lemari Kayu,8,1500000
2025-03-31,Meja Kayu,5,850000
2025-04-01,Lemari Kayu,6,1500000
2025-04-01,Lemari Kayu,9,1500000
2025-04-02,Kursi Kayu,3,250000
2025-04-03,Rak Buku,3,400000
2025-04-03,Meja Makan,4,1200000
2025-04-04,Rak Buku,7,400000
2025-04-05,Kursi Rotan,8,300000
2025-04-05,Rak Buku,1,400000
2025-04-05,Kursi Kayu,7,250000
2025-04-06,Kursi Rotan,1,300000
2025-04-06,Kursi Rotan,7,300000
2025-04-06,Rak Buku,1,400000
2025-04-06,Lemari Kayu,5,1500000
2025-04-07,Rak Buku,9,400000
2025-04-07,Meja Makan,9,1200000
2025-04-07,Kursi Rotan,4,300000
2025-04-07,Rak Buku,4,400000
2025-04-08,Rak Buku,8,400000
2025-04-08,Meja Kayu,7,850000
2025-04-08,Lemari Kayu,7,1500000
2025-04-09,Rak Buku,3,400000
2025-04-09,Kursi Rotan,9,300000
2025-04-10,Rak Buku,10,400000
2025-04-11,Meja Makan,1,1200000
2025-04-11,Meja Kayu,7,850000
2025-04-11,Kursi Kayu,8,250000
2025-04-11,Kursi Kayu,1,250000
2025-04-11,Lemari Kayu,7,1500000
2025-04-12,Kursi Kayu,8,250000
2025-04-12,Lemari Kayu,6,1500000
2025-04-12,Rak Buku,5,400000
2025-04-13,Lemari Kayu,2,1500000
2025-04-13,Rak Buku,1,400000
2025-04-13,Meja Makan,9,1200000
2025-04-13,Meja Kayu,6,850000
2025-04-14,Meja Makan,2,1200000
2025-04-14,Meja Makan,1,1200000
2025-04-15,Kursi Kayu,4,250000
2025-04-16,Kursi Rotan,3,300000
2025-04-17,Kursi Kayu,8,250000
2025-04-17,Meja Makan,2,1200000
2025-04-18,Kursi Kayu,8,250000
2025-04-18,Meja Makan,5,1200000
2025-04-18,Lemari Kayu,3,1500000
2025-04-18,Kursi Rotan,10,300000
2025-04-18,Meja Makan,2,1200000
2025-04-19,Lemari Kayu,2,1500000
2025-04-19,Kursi Rotan,1,300000
2025-04-20,Kursi Rotan,7,300000
2025-04-20,Rak Buku,4,400000
2025-04-20,Meja Kayu,10,850000
2025-04-21,Meja Kayu,5,850000
2025-04-21,Meja Makan,10,1200000
2025-04-22,Kursi Rotan,1,300000
2025-04-23,Kursi Rotan,7,300000
2025-04-23,Meja Makan,6,1200000
2025-04-23,Meja Kayu,9,850000
2025-04-24,Meja Kayu,7,850000
2025-04-24,Rak Buku,2,400000
2025-04-24,Rak Buku,6,400000
2025-04-25,Meja Makan,3,1200000
2025-04-25,Rak Buku,3,400000
2025-04-25,Meja Makan,9,1200000
2025-04-25,Meja Makan,5,1200000
2025-04-26,Kursi Rotan,8,300000
2025-04-26,Rak Buku,7,400000
2025-04-26,Meja Makan,10,1200000
2025-04-26,Lemari Kayu,6,1500000
2025-04-26,Kursi Kayu,2,250000
2025-04-27,Rak Buku,4,400000
2025-04-27,Rak Buku,10,400000
2025-04-27,Kursi Rotan,7,300000
2025-04-28,Meja Kayu,8,850000
2025-04-28,Lemari Kayu,3,1500000
2025-04-28,Rak Buku,4,400000
2025-04-29,Lemari Kayu,6,1500000
2025-04-29,Lemari Kayu,10,1500000
2025-04-29,Meja Makan,5,1200000
2025-04-30,Meja Kayu,9,850000
2025-04-30,Kursi Kayu,2,250000
2025-04-30,Kursi Kayu,7,250000
2025-04-30,Rak Buku,9,400000
2025-04-30,Kursi Kayu,8,250000
2025-05-01,Rak Buku,1,400000
2025-05-01,Meja Kayu,5,850000
2025-05-01,Kursi Kayu,7,250000
2025-05-01,Meja Makan,4,1200000
2025-05-02,Meja Makan,10,1200000
2025-05-02,Lemari Kayu,8,1500000
2025-05-02,Kursi Rotan,9,300000
2025-05-03,Rak Buku,9,400000
2025-05-03,Lemari Kayu,6,1500000
2025-05-03,Meja Makan,8,1200000
2025-05-04,Lemari Kayu,5,1500000
2025-05-04,Kursi Kayu,2,250000
2025-05-04,Meja Makan,4,1200000
2025-05-05,Meja Kayu,9,850000
2025-05-05,Meja Makan,3,1200000
2025-05-05,Kursi Kayu,4,250000
2025-05-06,Lemari Kayu,10,1500000
2025-05-06,Kursi Rotan,10,300000
2025-05-06,Lemari Kayu,2,1500000
2025-05-06,Kursi Kayu,5,250000
2025-05-07,Lemari Kayu,3,1500000
2025-05-07,Lemari Kayu,1,1500000
2025-05-08,Kursi Kayu,5,250000
2025-05-08,Meja Kayu,1,850000
2025-05-08,Kursi Rotan,5,300000
2025-05-08,Meja Makan,3,1200000
2025-05-08,Meja Makan,8,1200000
2025-05-09,Meja Kayu,10,850000
2025-05-10,Rak Buku,8,400000
2025-05-10,Rak Buku,6,400000
2025-05-10,Kursi Kayu,1,250000
2025-05-11,Rak Buku,2,400000
2025-05-11,Meja Kayu,7,850000
2025-05-11,Rak Buku,2,400000
2025-05-12,Meja Makan,1,1200000
2025-05-12,Kursi Kayu,3,250000
2025-05-12,Kursi Rotan,5,300000
2025-05-12,Meja Kayu,4,850000
2025-05-12,Meja Kayu,9,850000
2025-05-13,Kursi Rotan,10,300000
2025-05-13,Kursi Rotan,4,300000
2025-05-13,Kursi Rotan,7,300000
2025-05-13,Rak Buku,8,400000
2025-05-14,Kursi Rotan,7,300000
2025-05-14,Lemari Kayu,10,1500000
2025-05-14,Kursi Rotan,1,300000
2025-05-15,Meja Makan,2,1200000
2025-05-15,Kursi Kayu,4,250000
2025-05-15,Lemari Kayu,2,1500000
2025-05-15,Kursi Kayu,4,250000
2025-05-15,Kursi Kayu,9,250000
2025-05-16,Kursi Kayu,1,250000
2025-05-17,Rak Buku,10,400000
2025-05-17,Rak Buku,5,400000
2025-05-17,Meja Kayu,4,850000
2025-05-17,Lemari Kayu,5,1500000
2025-05-18,Meja Kayu,4,850000
2025-05-18,Lemari Kayu,10,1500000
2025-05-18,Meja Makan,4,1200000
2025-05-18,Rak Buku,2,400000
2025-05-19,Kursi Kayu,3,250000
2025-05-19,Lemari Kayu,3,1500000
2025-05-19,Meja Kayu,1,850000
2025-05-19,Kursi Kayu,5,250000
2025-05-19,Kursi Rotan,10,300000
2025-05-20,Rak Buku,2,400000
2025-05-20,Rak Buku,5,400000
2025-05-20,Meja Makan,7,1200000
2025-05-21,Kursi Rotan,9,300000
2025-05-21,Rak Buku,8,400000
2025-05-21,Meja Kayu,10,850000
2025-05-22,Rak Buku,6,400000
2025-05-23,Lemari Kayu,1,1500000
2025-05-23,Meja Kayu,4,850000
2025-05-23,Meja Makan,10,1200000
2025-05-23,Kursi Rotan,1,300000
2025-05-23,Meja Makan,5,1200000
2025-05-24,Meja Kayu,3,850000
2025-05-24,Rak Buku,9,400000
2025-05-24,Meja Makan,8,1200000
2025-05-24,Lemari Kayu,3,1500000
2025-05-24,Kursi Rotan,7,300000
2025-05-25,Meja Kayu,8,850000
2025-05-25,Lemari Kayu,7,1500000
2025-05-25,Lemari Kayu,6,1500000
2025-05-25,Meja Makan,2,1200000
2025-05-26,Lemari Kayu,7,1500000
2025-05-26,Meja Makan,8,1200000
2025-05-27,Meja Makan,7,1200000
2025-05-27,Kursi Rotan,1,300000
2025-05-27,Rak Buku,2,400000
2025-05-28,Lemari Kayu,6,1500000
2025-05-28,Meja Kayu,7,850000
2025-05-28,Kursi Rotan,1,300000
2025-05-29,Rak Buku,7,400000
2025-05-29,Meja Kayu,4,850000
2025-05-29,Kursi Rotan,6,300000
2025-05-29,Kursi Rotan,8,300000
2025-05-29,Meja Makan,8,1200000
2025-05-30,Kursi Kayu,5,250000
2025-05-31,Kursi Kayu,5,250000
2025-05-31,Rak Buku,8,400000
2025-05-31,Meja Kayu,1,850000
2025-05-31,Meja Makan,10,1200000
2025-05-31,Kursi Kayu,3,250000
2025-06-01,Kursi Rotan,1,300000
2025-06-01,Kursi Rotan,7,300000
2025-06-01,Meja Kayu,4,850000
2025-06-02,Rak Buku,2,400000
2025-06-03,Rak Buku,5,400000
2025-06-03,Kursi Rotan,5,300000
2025-06-04,Rak Buku,8,400000
2025-06-04,Kursi Kayu,8,250000
2025-06-04,Kursi Rotan,3,300000
2025-06-04,Rak Buku,4,400000
2025-06-05,Kursi Rotan,3,300000
2025-06-05,Meja Kayu,5,850000
2025-06-05,Rak Buku,6,400000
2025-06-05,Kursi Rotan,5,300000
2025-06-05,Meja Kayu,5,850000
2025-06-06,Kursi Rotan,10,300000
2025-06-06,Meja Makan,8,1200000
2025-06-06,Kursi Kayu,8,250000
2025-06-07,Rak Buku,6,400000
2025-06-07,Lemari Kayu,9,1500000
2025-06-07,Kursi Rotan,7,300000
2025-06-07,Rak Buku,6,400000
2025-06-07,Kursi Kayu,4,250000
2025-06-08,Rak Buku,4,400000
2025-06-08,Rak Buku,1,400000
2025-06-08,Lemari Kayu,8,1500000
2025-06-08,Meja Makan,7,1200000
2025-06-08,Rak Buku,3,400000
2025-06-09,Meja Kayu,3,850000
2025-06-09,Kursi Rotan,10,300000
2025-06-09,Lemari Kayu,2,1500000
2025-06-09,Rak Buku,2,400000
2025-06-10,Rak Buku,1,400000
2025-06-10,Meja Makan,3,1200000
2025-06-10,Rak Buku,3,400000
2025-06-10,Meja Kayu,8,850000
2025-06-10,Lemari Kayu,6,1500000
2025-06-11,Meja Makan,7,1200000
2025-06-11,Meja Makan,2,1200000
2025-06-11,Lemari Kayu,9,1500000
2025-06-11,Rak Buku,6,400000
2025-06-11,Meja Makan,8,1200000
2025-06-12,Meja Kayu,10,850000
2025-06-12,Meja Kayu,4,850000
2025-06-12,Meja Makan,5,1200000
2025-06-12,Kursi Kayu,2,250000
2025-06-12,Rak Buku,2,400000
2025-06-13,Rak Buku,3,400000
2025-06-14,Meja Kayu,1,850000
2025-06-14,Lemari Kayu,1,1500000
2025-06-14,Lemari Kayu,6,1500000
2025-06-15,Rak Buku,3,400000
2025-06-15,Kursi Kayu,9,250000
2025-06-15,Rak Buku,10,400000
2025-06-16,Kursi Kayu,3,250000
2025-06-16,Meja Kayu,10,850000
2025-06-17,Kursi Rotan,4,300000
2025-06-17,Rak Buku,10,400000
2025-06-17,Kursi Kayu,4,250000
2025-06-17,Rak Buku,5,400000
2025-06-18,Lemari Kayu,1,1500000
2025-06-18,Rak Buku,5,400000
2025-06-18,Meja Makan,9,1200000
2025-06-18,Kursi Kayu,2,250000
2025-06-19,Lemari Kayu,10,1500000
2025-06-19,Lemari Kayu,7,1500000
2025-06-19,Meja Makan,5,1200000
2025-06-19,Rak Buku,5,400000
2025-06-20,Rak Buku,8,400000
2025-06-20,Meja Kayu,4,850000
2025-06-21,Kursi Rotan,6,300000
2025-06-21,Kursi Rotan,5,300000
2025-06-21,Meja Makan,5,1200000
2025-06-21,Meja Kayu,7,850000
2025-06-22,Meja Kayu,10,850000
2025-06-22,Meja Makan,1,1200000
2025-06-22,Kursi Rotan,8,300000
2025-06-23,Kursi Kayu,10,250000
2025-06-23,Lemari Kayu,4,1500000
2025-06-23,Meja Makan,4,1200000
2025-06-24,Lemari Kayu,3,1500000
2025-06-24,Meja Makan,2,1200000
2025-06-24,Meja Makan,1,1200000
2025-06-24,Lemari Kayu,8,1500000
2025-06-24,Meja Kayu,10,850000
2025-06-25,Meja Makan,3,1200000
2025-06-25,Meja Kayu,5,850000
2025-06-25,Lemari Kayu,7,1500000
2025-06-26,Kursi Kayu,3,250000
2025-06-26,Kursi Rotan,6,300000
2025-06-27,Kursi Rotan,5,300000
2025-06-27,Kursi Kayu,5,250000
2025-06-27,Rak Buku,5,400000
2025-06-27,Meja Makan,6,1200000
2025-06-27,Meja Kayu,8,850000
2025-06-28,Kursi Kayu,4,250000
2025-06-29,Kursi Rotan,6,300000
2025-06-29,Meja Kayu,7,850000
2025-06-29,Meja Kayu,5,850000
2025-06-29,Kursi Rotan,2,300000
